id,trackable_id,trackable_uid,mac_address,ts,x,y,z,area_uid,project_uid,inactive
5405249,84,VpSThDXQTkWGZUlPgvIHww,E4956EA43A86,2025-10-12 03:48:54.892,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405250,65,SlRyQKqyS8ukEjYFHUNxLg,E4956EA43596,2025-10-12 03:48:54.892,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405251,82,0zQFu87mQnSlAFgYd7HJkw,E4956EA4395B,2025-10-12 03:48:54.892,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405252,81,v9uagGHtSHSqrErs_5OUpA,E4956EA433E5,2025-10-12 03:48:54.892,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405253,4,EnPs6voTRbGuy-RgBhnbsQ,E4956EA43AD0,2025-10-12 03:48:54.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405254,73,bm-Pt-ujSke3Ck0Nn0tFag,E4956EA43880,2025-10-12 03:48:54.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405255,40,LJGHXxS3TDmKSumG1VZAqw,E4956EA43273,2025-10-12 03:48:54.917,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405256,97,uwpg4tDeRQevNCBitRa39Q,E4956EA438FE,2025-10-12 03:48:54.917,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405257,92,kplZNvjQTaus1ftIQaEEhg,E4956EA43F8A,2025-10-12 03:48:54.921,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405258,83,3sYE4-ucQEa4fNiBIwLe4A,E4956EA43E42,2025-10-12 03:48:54.922,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405259,74,pqCjVF7mT52W6bj6hRdGlw,E4956EA43274,2025-10-12 03:48:54.936,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405260,74,pqCjVF7mT52W6bj6hRdGlw,E4956EA43274,2025-10-12 03:48:55.886,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405261,82,0zQFu87mQnSlAFgYd7HJkw,E4956EA4395B,2025-10-12 03:48:55.886,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405262,81,v9uagGHtSHSqrErs_5OUpA,E4956EA433E5,2025-10-12 03:48:55.886,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405263,65,SlRyQKqyS8ukEjYFHUNxLg,E4956EA43596,2025-10-12 03:48:55.886,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405264,84,VpSThDXQTkWGZUlPgvIHww,E4956EA43A86,2025-10-12 03:48:55.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405265,4,EnPs6voTRbGuy-RgBhnbsQ,E4956EA43AD0,2025-10-12 03:48:55.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405266,83,3sYE4-ucQEa4fNiBIwLe4A,E4956EA43E42,2025-10-12 03:48:55.907,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405267,92,kplZNvjQTaus1ftIQaEEhg,E4956EA43F8A,2025-10-12 03:48:55.907,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405268,73,bm-Pt-ujSke3Ck0Nn0tFag,E4956EA43880,2025-10-12 03:48:55.907,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405269,40,LJGHXxS3TDmKSumG1VZAqw,E4956EA43273,2025-10-12 03:48:55.916,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405270,97,uwpg4tDeRQevNCBitRa39Q,E4956EA438FE,2025-10-12 03:48:55.917,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405271,82,0zQFu87mQnSlAFgYd7HJkw,E4956EA4395B,2025-10-12 03:48:56.886,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405272,4,EnPs6voTRbGuy-RgBhnbsQ,E4956EA43AD0,2025-10-12 03:48:56.886,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405273,81,v9uagGHtSHSqrErs_5OUpA,E4956EA433E5,2025-10-12 03:48:56.892,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405274,73,bm-Pt-ujSke3Ck0Nn0tFag,E4956EA43880,2025-10-12 03:48:56.892,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405275,74,pqCjVF7mT52W6bj6hRdGlw,E4956EA43274,2025-10-12 03:48:56.902,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405276,97,uwpg4tDeRQevNCBitRa39Q,E4956EA438FE,2025-10-12 03:48:56.902,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405277,83,3sYE4-ucQEa4fNiBIwLe4A,E4956EA43E42,2025-10-12 03:48:56.902,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405278,92,kplZNvjQTaus1ftIQaEEhg,E4956EA43F8A,2025-10-12 03:48:56.907,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405279,40,LJGHXxS3TDmKSumG1VZAqw,E4956EA43273,2025-10-12 03:48:56.912,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405280,84,VpSThDXQTkWGZUlPgvIHww,E4956EA43A86,2025-10-12 03:48:56.912,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405281,65,SlRyQKqyS8ukEjYFHUNxLg,E4956EA43596,2025-10-12 03:48:56.912,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405282,82,0zQFu87mQnSlAFgYd7HJkw,E4956EA4395B,2025-10-12 03:48:57.886,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405283,73,bm-Pt-ujSke3Ck0Nn0tFag,E4956EA43880,2025-10-12 03:48:57.892,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405284,4,EnPs6voTRbGuy-RgBhnbsQ,E4956EA43AD0,2025-10-12 03:48:57.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405285,40,LJGHXxS3TDmKSumG1VZAqw,E4956EA43273,2025-10-12 03:48:57.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405286,83,3sYE4-ucQEa4fNiBIwLe4A,E4956EA43E42,2025-10-12 03:48:57.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405287,81,v9uagGHtSHSqrErs_5OUpA,E4956EA433E5,2025-10-12 03:48:57.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405288,97,uwpg4tDeRQevNCBitRa39Q,E4956EA438FE,2025-10-12 03:48:57.902,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405289,92,kplZNvjQTaus1ftIQaEEhg,E4956EA43F8A,2025-10-12 03:48:57.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405290,84,VpSThDXQTkWGZUlPgvIHww,E4956EA43A86,2025-10-12 03:48:57.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405291,65,SlRyQKqyS8ukEjYFHUNxLg,E4956EA43596,2025-10-12 03:48:57.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405292,74,pqCjVF7mT52W6bj6hRdGlw,E4956EA43274,2025-10-12 03:48:57.911,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405293,40,LJGHXxS3TDmKSumG1VZAqw,E4956EA43273,2025-10-12 03:48:58.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405294,82,0zQFu87mQnSlAFgYd7HJkw,E4956EA4395B,2025-10-12 03:48:58.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405295,97,uwpg4tDeRQevNCBitRa39Q,E4956EA438FE,2025-10-12 03:48:58.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405296,74,pqCjVF7mT52W6bj6hRdGlw,E4956EA43274,2025-10-12 03:48:58.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405297,81,v9uagGHtSHSqrErs_5OUpA,E4956EA433E5,2025-10-12 03:48:58.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405298,73,bm-Pt-ujSke3Ck0Nn0tFag,E4956EA43880,2025-10-12 03:48:58.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405299,92,kplZNvjQTaus1ftIQaEEhg,E4956EA43F8A,2025-10-12 03:48:58.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405300,65,SlRyQKqyS8ukEjYFHUNxLg,E4956EA43596,2025-10-12 03:48:58.896,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405301,82,0zQFu87mQnSlAFgYd7HJkw,E4956EA4395B,2025-10-12 03:48:59.882,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405302,81,v9uagGHtSHSqrErs_5OUpA,E4956EA433E5,2025-10-12 03:48:59.891,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405303,73,bm-Pt-ujSke3Ck0Nn0tFag,E4956EA43880,2025-10-12 03:48:59.901,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405304,68,UkK2nV3UTMqGA1uduZgJhA,E4956EA43429,2025-10-12 05:11:48.906,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405305,68,UkK2nV3UTMqGA1uduZgJhA,E4956EA43429,2025-10-12 05:11:49.911,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405306,68,UkK2nV3UTMqGA1uduZgJhA,E4956EA43429,2025-10-12 05:11:50.915,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405307,68,UkK2nV3UTMqGA1uduZgJhA,E4956EA43429,2025-10-12 05:11:51.911,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405308,68,UkK2nV3UTMqGA1uduZgJhA,E4956EA43429,2025-10-12 05:11:52.920,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405309,10,RAcK6lflTru7Hy5fx3e90Q,E4956EA4437E,2025-10-12 07:30:33.955,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405310,10,RAcK6lflTru7Hy5fx3e90Q,E4956EA4437E,2025-10-12 07:30:34.966,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405311,10,RAcK6lflTru7Hy5fx3e90Q,E4956EA4437E,2025-10-12 07:30:35.946,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405312,10,RAcK6lflTru7Hy5fx3e90Q,E4956EA4437E,2025-10-12 07:30:36.945,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405313,10,RAcK6lflTru7Hy5fx3e90Q,E4956EA4437E,2025-10-12 07:30:37.965,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405314,26,tPwd9bXeTY_J3qyWC3GagQ,E4956EA446BD,2025-10-12 07:31:58.946,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405315,26,tPwd9bXeTY_J3qyWC3GagQ,E4956EA446BD,2025-10-12 07:31:59.965,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405316,26,tPwd9bXeTY_J3qyWC3GagQ,E4956EA446BD,2025-10-12 07:32:00.955,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405317,26,tPwd9bXeTY_J3qyWC3GagQ,E4956EA446BD,2025-10-12 07:32:01.941,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405318,26,tPwd9bXeTY_J3qyWC3GagQ,E4956EA446BD,2025-10-12 07:32:02.945,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
5405319,18,yRKk9E4KQ_6kJF2xfycIaQ,E4956EA43F48,2025-10-12 08:07:16.966,4541,2866,1000,4_kF-L7dSO_PlOj3DocURw,EzU4y8EaQJuD4Y9ZartpqA,0
